Dataset,Architecture,Batch Size,Learning Rate,Scheduler,Optimizer,Final Train Loss,Min Train Loss,Final Test Loss,Final Train Accuracy,Final Test Accuracy,Best Test Accuracy,Convergence Epoch,Gradient Norms,Folder
MNIST,PlainNet,64,0.001,None,Adam,0.054719291627407074,0.0018215274903923273,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.054979435386176), 'final': 1.0625861883163452, 'max': 12.396358489990234, 'min': 0.05585203319787979}}",MNISTPlainNet_BS64_LR0.001_SCHDLNone_Adam
MNIST,PlainNet,64,0.001,StepLR,Adam,0.0027009721379727125,0.0020618028938770294,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.100212499499321), 'final': 0.05865854769945145, 'max': 13.046436309814453, 'min': 0.05865854769945145}}",MNISTPlainNet_BS64_LR0.001_SCHDLStepLR_Adam
MNIST,PlainNet,64,0.005,Cosine,Adam,0.058613214641809464,0.0022000183816999197,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6762145279926506), 'final': 0.5155909657478333, 'max': 13.266168594360352, 'min': 0.023456156253814697}}",MNISTPlainNet_BS64_LR0.005_SCHDLCosine_Adam
MNIST,PlainNet,64,0.005,None,Adam,0.08775196224451065,0.0043599228374660015,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.7531289445196695), 'final': 0.45340871810913086, 'max': 17.322463989257812, 'min': 0.05399037152528763}}",MNISTPlainNet_BS64_LR0.005_SCHDLNone_Adam
MNIST,PlainNet,64,0.005,StepLR,Adam,0.016956660896539688,0.004349719732999802,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.8350485239098681), 'final': 0.22090430557727814, 'max': 16.95535659790039, 'min': 0.07032061368227005}}",MNISTPlainNet_BS64_LR0.005_SCHDLStepLR_Adam
MNIST,PlainNet,64,0.01,Cosine,Adam,0.021969974040985107,0.004672674462199211,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.669568479021496), 'final': 0.2794208228588104, 'max': 16.00584602355957, 'min': 0.0418514721095562}}",MNISTPlainNet_BS64_LR0.01_SCHDLCosine_Adam
MNIST,PlainNet,64,0.01,None,Adam,0.05347893387079239,0.0031226156279444695,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6763572836730708), 'final': 0.35683774948120117, 'max': 13.613861083984375, 'min': 0.02702663466334343}}",MNISTPlainNet_BS64_LR0.01_SCHDLNone_Adam
MNIST,PlainNet,64,0.01,StepLR,Adam,0.03636379912495613,0.007458544336259365,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6776132783357133), 'final': 0.34413620829582214, 'max': 13.300254821777344, 'min': 0.06338459253311157}}",MNISTPlainNet_BS64_LR0.01_SCHDLStepLR_Adam
MNIST,ResNet,128,0.001,Cosine,Adam,0.045103151351213455,0.00135465816128999,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.1305992555745104), 'final': 0.7855048179626465, 'max': 9.65775203704834, 'min': 0.04144313931465149}}",MNISTResNet_BS128_LR0.001_SCHDLCosine_Adam
MNIST,ResNet,128,0.001,None,Adam,0.02459336258471012,0.006479292176663876,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.1485386589106092), 'final': 0.6762385368347168, 'max': 9.896718978881836, 'min': 0.22989210486412048}}",MNISTResNet_BS128_LR0.001_SCHDLNone_Adam
MNIST,ResNet,128,0.001,StepLR,Adam,0.007534251548349857,0.006922735832631588,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.1713248890765169), 'final': 0.253925621509552, 'max': 12.271086692810059, 'min': 0.18976351618766785}}",MNISTResNet_BS128_LR0.001_SCHDLStepLR_Adam
MNIST,ResNet,128,0.005,Cosine,Adam,0.029668103903532028,0.004539885558187962,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.7125141203720519), 'final': 0.3897804617881775, 'max': 9.508947372436523, 'min': 0.06234423816204071}}",MNISTResNet_BS128_LR0.005_SCHDLCosine_Adam
MNIST,ResNet,128,0.005,None,Adam,0.12020684778690338,0.006583388429135084,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.8100711164322305), 'final': 0.8761715292930603, 'max': 12.247281074523926, 'min': 0.09745432436466217}}",MNISTResNet_BS128_LR0.005_SCHDLNone_Adam
MNIST,ResNet,128,0.005,StepLR,Adam,0.04227585345506668,0.008199816569685936,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.7528977409956303), 'final': 0.4880729019641876, 'max': 9.587162971496582, 'min': 0.13373726606369019}}",MNISTResNet_BS128_LR0.005_SCHDLStepLR_Adam
MNIST,ResNet,128,0.01,Cosine,Adam,0.027849718928337097,0.011104571633040905,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.69836899004084), 'final': 0.18697650730609894, 'max': 9.914539337158203, 'min': 0.13973848521709442}}",MNISTResNet_BS128_LR0.01_SCHDLCosine_Adam
MNIST,ResNet,128,0.01,None,Adam,0.0331999808549881,0.0075041973032057285,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6321743818673682), 'final': 0.3415044844150543, 'max': 9.015045166015625, 'min': 0.08420652151107788}}",MNISTResNet_BS128_LR0.01_SCHDLNone_Adam
MNIST,ResNet,128,0.01,StepLR,Adam,0.017503656446933746,0.009606006555259228,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.7235031397418773), 'final': 0.24192018806934357, 'max': 11.916740417480469, 'min': 0.15111765265464783}}",MNISTResNet_BS128_LR0.01_SCHDLStepLR_Adam
MNIST,ResNet,32,0.001,Cosine,Adam,0.005096865817904472,0.0007890734123066068,,,,,7.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.1800602412723162), 'final': 0.13150230050086975, 'max': 11.106976509094238, 'min': 0.013772498816251755}}",MNISTResNet_BS32_LR0.001_SCHDLCosine_Adam
MNIST,ResNet,32,0.001,None,Adam,0.01480434462428093,0.0002900065155699849,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.1089442769570792), 'final': 0.32341375946998596, 'max': 18.15850830078125, 'min': 0.005499516148120165}}",MNISTResNet_BS32_LR0.001_SCHDLNone_Adam
MNIST,ResNet,32,0.001,StepLR,Adam,0.0020030539017170668,0.0010117018828168511,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.0660819227490177), 'final': 0.04611855000257492, 'max': 11.935693740844727, 'min': 0.019550569355487823}}",MNISTResNet_BS32_LR0.001_SCHDLStepLR_Adam
MNIST,ResNet,32,0.005,Cosine,Adam,0.015464785508811474,0.0004338395083323121,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6756411963191993), 'final': 0.17079780995845795, 'max': 9.005576133728027, 'min': 0.005358769558370113}}",MNISTResNet_BS32_LR0.005_SCHDLCosine_Adam
MNIST,ResNet,32,0.005,None,Adam,0.017737088724970818,0.0007789014489389956,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.7489658027981467), 'final': 0.3474901020526886, 'max': 17.399202346801758, 'min': 0.0078003848902881145}}",MNISTResNet_BS32_LR0.005_SCHDLNone_Adam
MNIST,ResNet,32,0.005,StepLR,Adam,0.04968619346618652,0.0008495883666910231,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6457664141050005), 'final': 0.727783739566803, 'max': 10.037256240844727, 'min': 0.007601905148476362}}",MNISTResNet_BS32_LR0.005_SCHDLStepLR_Adam
MNIST,ResNet,32,0.01,Cosine,Adam,0.024781692773103714,0.002734004519879818,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6577637231353908), 'final': 0.35404732823371887, 'max': 18.70448112487793, 'min': 0.025144610553979874}}",MNISTResNet_BS32_LR0.01_SCHDLCosine_Adam
MNIST,ResNet,32,0.01,None,Adam,,,,,,,,{},MNISTResNet_BS32_LR0.01_SCHDLNone_Adam
MNIST,ResNet,32,0.01,StepLR,Adam,0.023339111357927322,0.002588629722595215,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6403566500112573), 'final': 0.27587464451789856, 'max': 13.781013488769531, 'min': 0.024980731308460236}}",MNISTResNet_BS32_LR0.01_SCHDLStepLR_Adam
MNIST,ResNet,64,0.001,Cosine,Adam,0.0027602582704275846,0.00109927449375391,,,,,9.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.071715419477922), 'final': 0.08091959357261658, 'max': 9.394420623779297, 'min': 0.03521915152668953}}",MNISTResNet_BS64_LR0.001_SCHDLCosine_Adam
