Optimizer,Dataset,Architecture,BatchSize,LR,Scheduler,TestAccuracy
SGD,MNIST,ResNet,32,1e-05,None,95.37999725341797
SGD,MNIST,PlainNet,128,0.01,None,99.0999984741211
SGD,MNIST,ResNet,32,0.1,StepLR,97.44000244140625
SGD,MNIST,ResNet,32,0.01,Cosine,99.6500015258789
SGD,MNIST,PlainNet,128,0.1,None,99.0
SGD,MNIST,PlainNet,32,0.0001,None,99.33000183105469
SGD,MNIST,PlainNet,1024,0.0001,None,29.389999389648438
SGD,MNIST,PlainNet,128,1e-05,Cosine,21.579999923706055
SGD,MNIST,ResNet,1024,0.001,None,98.33000183105469
SGD,MNIST,ResNet,128,1e-05,StepLR,58.560001373291016
SGD,MNIST,PlainNet,128,0.1,StepLR,97.7300033569336
SGD,MNIST,PlainNet,1024,0.01,None,99.29000091552734
SGD,MNIST,ResNet,1024,0.001,Cosine,97.26000213623047
SGD,MNIST,ResNet,128,0.1,None,96.0199966430664
SGD,MNIST,PlainNet,128,1e-05,None,31.200000762939453
SGD,MNIST,PlainNet,128,0.0001,None,98.12999725341797
SGD,MNIST,ResNet,128,0.01,StepLR,99.08000183105469
SGD,MNIST,PlainNet,512,0.1,StepLR,98.58000183105469
SGD,MNIST,PlainNet,1024,1e-05,None,10.15999984741211
SGD,MNIST,ResNet,1024,0.1,None,98.70999908447266
SGD,MNIST,PlainNet,32,0.0001,Cosine,99.08000183105469
SGD,MNIST,ResNet,32,1e-05,Cosine,78.70999908447266
SGD,MNIST,ResNet,32,0.0001,StepLR,99.20999908447266
SGD,MNIST,PlainNet,512,1e-05,None,13.529999732971191
SGD,MNIST,PlainNet,1024,0.1,StepLR,99.0999984741211
SGD,CIFAR100,PlainNet,1024,1e-05,Cosine,0.5400000214576721
SGD,CIFAR100,PlainNet,128,0.01,StepLR,43.619998931884766
SGD,CIFAR100,PlainNet,512,0.1,None,40.209999084472656
SGD,CIFAR100,ResNet,1024,1e-05,None,0.8199999928474426
SGD,CIFAR100,PlainNet,32,1e-05,Cosine,1.5399999618530273
SGD,CIFAR100,PlainNet,128,0.001,None,18.31999969482422
SGD,CIFAR100,ResNet,1024,0.1,StepLR,41.439998626708984
SGD,CIFAR100,ResNet,512,1e-05,StepLR,1.0199999809265137
SGD,CIFAR100,ResNet,128,0.1,Cosine,56.09000015258789
SGD,CIFAR100,PlainNet,512,1e-05,Cosine,0.9599999785423279
SGD,CIFAR100,ResNet,128,0.0001,StepLR,9.109999656677246
SGD,CIFAR100,PlainNet,1024,0.001,None,5.510000228881836
SGD,CIFAR100,ResNet,512,0.1,Cosine,51.72999954223633
SGD,CIFAR100,ResNet,512,0.0001,StepLR,4.590000152587891
SGD,CIFAR100,PlainNet,32,0.1,Cosine,51.9900016784668
SGD,CIFAR100,PlainNet,512,0.001,None,6.889999866485596
SGD,CIFAR100,ResNet,128,0.0001,None,10.180000305175781
SGD,CIFAR100,ResNet,512,0.01,None,35.689998626708984
SGD,CIFAR100,ResNet,1024,1e-05,Cosine,1.0299999713897705
SGD,CIFAR100,PlainNet,128,0.001,Cosine,12.489999771118164
SGD,CIFAR100,ResNet,128,0.001,StepLR,29.239999771118164
SGD,CIFAR100,PlainNet,1024,0.0001,Cosine,1.059999942779541
SGD,CIFAR100,PlainNet,1024,0.01,StepLR,17.450000762939453
SGD,CIFAR100,PlainNet,32,0.01,StepLR,45.470001220703125
SGD,CIFAR100,ResNet,1024,0.01,Cosine,26.65999984741211
SGD,CIFAR100,ResNet,512,0.1,None,44.16999816894531
SGD,CIFAR100,ResNet,32,0.1,None,37.09000015258789
SGD,CIFAR100,ResNet,32,0.001,None,46.470001220703125
SGD,CIFAR100,ResNet,1024,0.0001,Cosine,2.8399999141693115
SGD,CIFAR100,PlainNet,128,0.0001,StepLR,4.670000076293945
SGD,CIFAR100,ResNet,32,0.001,Cosine,43.380001068115234
SGD,CIFAR100,PlainNet,512,0.01,Cosine,22.40999984741211
SGD,CIFAR100,PlainNet,512,0.0001,StepLR,2.4600000381469727
SGD,CIFAR100,ResNet,1024,0.0001,None,2.950000047683716
SGD,CIFAR100,ResNet,32,0.01,StepLR,49.599998474121094
SGD,CIFAR100,ResNet,32,0.1,Cosine,56.880001068115234
SGD,CIFAR100,ResNet,32,0.01,None,51.34000015258789
SGD,CIFAR100,PlainNet,512,0.0001,None,2.6500000953674316
SGD,CIFAR100,PlainNet,32,0.1,None,23.209999084472656
SGD,CIFAR100,PlainNet,1024,0.001,StepLR,5.300000190734863
SGD,CIFAR100,ResNet,512,0.01,StepLR,38.40999984741211
SGD,CIFAR100,PlainNet,32,0.001,StepLR,40.04999923706055
SGD,CIFAR100,PlainNet,512,0.001,StepLR,8.0600004196167
SGD,CIFAR100,ResNet,512,0.001,Cosine,12.739999771118164
SGD,CIFAR100,PlainNet,1024,0.1,Cosine,38.189998626708984
SGD,CIFAR100,ResNet,512,0.001,None,14.640000343322754
SGD,CIFAR100,ResNet,32,0.0001,Cosine,14.0
SGD,CIFAR100,ResNet,32,1e-05,StepLR,4.949999809265137
SGD,CIFAR100,PlainNet,32,0.0001,StepLR,11.520000457763672
SGD,CIFAR100,PlainNet,32,0.001,None,40.630001068115234
SGD,CIFAR100,PlainNet,512,0.1,Cosine,42.689998626708984
SGD,CIFAR100,ResNet,128,0.01,Cosine,49.59000015258789
SGD,CIFAR100,ResNet,1024,0.001,StepLR,10.770000457763672
SGD,CIFAR100,PlainNet,512,0.01,None,29.729999542236328
SGD,CIFAR100,PlainNet,128,0.1,Cosine,49.68000030517578
SGD,CIFAR100,ResNet,128,1e-05,Cosine,1.2400000095367432
SGD,CIFAR100,ResNet,128,0.001,None,27.969999313354492
SGD,CIFAR100,PlainNet,32,0.01,None,44.45000076293945
SGD,CIFAR100,PlainNet,128,1e-05,StepLR,1.9299999475479126
SGD,CIFAR100,ResNet,512,0.0001,Cosine,3.059999942779541
SGD,CIFAR100,PlainNet,32,0.1,StepLR,26.010000228881836
SGD,CIFAR100,ResNet,512,0.1,StepLR,45.349998474121094
SGD,CIFAR100,PlainNet,32,1e-05,None,3.1700000762939453
SGD,CIFAR100,ResNet,128,0.01,None,45.619998931884766
SGD,CIFAR100,ResNet,128,0.0001,Cosine,7.579999923706055
SGD,CIFAR100,ResNet,512,1e-05,None,1.850000023841858
SGD,CIFAR100,PlainNet,512,1e-05,StepLR,0.9300000071525574
SGD,CIFAR100,ResNet,128,0.1,StepLR,44.04999923706055
SGD,CIFAR100,ResNet,512,1e-05,Cosine,1.0
SGD,CIFAR100,ResNet,1024,0.1,Cosine,48.119998931884766
SGD,CIFAR100,ResNet,128,1e-05,None,2.509999990463257
SGD,CIFAR100,PlainNet,32,1e-05,StepLR,2.4100000858306885
SGD,CIFAR100,ResNet,1024,0.01,None,30.739999771118164
SGD,CIFAR100,PlainNet,128,0.01,Cosine,44.97999954223633
SGD,CIFAR100,PlainNet,1024,1e-05,StepLR,0.8700000047683716
SGD,CIFAR100,PlainNet,512,0.0001,Cosine,1.090000033378601
SGD,CIFAR100,PlainNet,512,0.01,StepLR,27.610000610351562
SGD,CIFAR100,ResNet,32,0.001,StepLR,46.720001220703125
SGD,CIFAR100,PlainNet,128,0.0001,Cosine,3.859999895095825
SGD,CIFAR100,ResNet,1024,0.0001,StepLR,2.7899999618530273
SGD,CIFAR100,ResNet,32,0.0001,None,20.219999313354492
SGD,CIFAR100,PlainNet,1024,0.1,None,34.18000030517578
SGD,CIFAR100,ResNet,1024,0.01,StepLR,29.610000610351562
SGD,CIFAR100,PlainNet,32,0.01,Cosine,47.5
SGD,CIFAR100,PlainNet,1024,0.01,Cosine,14.260000228881836
SGD,CIFAR100,PlainNet,1024,0.0001,StepLR,1.690000057220459
SGD,CIFAR100,ResNet,128,0.001,Cosine,26.25
SGD,CIFAR100,PlainNet,128,0.001,StepLR,18.280000686645508
SGD,CIFAR100,ResNet,1024,1e-05,StepLR,1.0199999809265137
SGD,CIFAR100,ResNet,512,0.0001,None,4.610000133514404
SGD,CIFAR100,ResNet,512,0.001,StepLR,14.890000343322754
SGD,CIFAR100,PlainNet,512,0.001,Cosine,5.480000019073486
SGD,CIFAR100,PlainNet,32,0.001,Cosine,34.790000915527344
SGD,CIFAR100,ResNet,512,0.01,Cosine,36.439998626708984
SGD,CIFAR100,PlainNet,1024,0.001,Cosine,3.9000000953674316
SGD,CIFAR100,ResNet,32,1e-05,None,5.460000038146973
SGD,CIFAR100,PlainNet,128,0.01,None,42.529998779296875
SGD,CIFAR100,ResNet,32,0.1,StepLR,37.43000030517578
SGD,CIFAR100,ResNet,32,0.01,Cosine,54.58000183105469
SGD,CIFAR100,PlainNet,128,0.1,None,31.899999618530273
SGD,CIFAR100,PlainNet,32,0.0001,None,8.369999885559082
SGD,CIFAR100,PlainNet,1024,0.0001,None,1.159999966621399
