Dataset,Architecture,Batch Size,Learning Rate,Scheduler,Optimizer,Final Train Loss,Min Train Loss,Final Test Loss,Final Train Accuracy,Final Test Accuracy,Best Test Accuracy,Convergence Epoch,Gradient Norms,Folder
CIFAR10,PlainNet,64,0.001,None,Adam,0.851270318031311,0.29240813851356506,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.043630972420773), 'final': 6.642055511474609, 'max': 8.122958183288574, 'min': 1.6541163921356201}}",CIFAR10PlainNet_BS64_LR0.001_SCHDLNone_Adam
CIFAR10,PlainNet,64,0.001,StepLR,Adam,0.4503962993621826,0.3907411992549896,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.080855858508888), 'final': 2.8611154556274414, 'max': 9.35308837890625, 'min': 1.737307071685791}}",CIFAR10PlainNet_BS64_LR0.001_SCHDLStepLR_Adam
CIFAR10,PlainNet,64,0.005,Cosine,Adam,1.274344563484192,0.8073676824569702,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.1202556184643064), 'final': 2.3498339653015137, 'max': 6.475103855133057, 'min': 0.4930441379547119}}",CIFAR10PlainNet_BS64_LR0.005_SCHDLCosine_Adam
CIFAR10,PlainNet,64,0.005,None,Adam,1.3884440660476685,0.8275730609893799,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.0971165452771785), 'final': 2.6008358001708984, 'max': 5.5453715324401855, 'min': 0.5086221098899841}}",CIFAR10PlainNet_BS64_LR0.005_SCHDLNone_Adam
CIFAR10,PlainNet,64,0.005,StepLR,Adam,0.9520338773727417,0.7123249769210815,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.176512449278551), 'final': 1.8751332759857178, 'max': 6.665590286254883, 'min': 0.5559806227684021}}",CIFAR10PlainNet_BS64_LR0.005_SCHDLStepLR_Adam
CIFAR10,PlainNet,64,0.01,Cosine,Adam,1.744095802307129,1.0941789150238037,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.8279887680507377), 'final': 1.7791574001312256, 'max': 4.847663879394531, 'min': 0.34521281719207764}}",CIFAR10PlainNet_BS64_LR0.01_SCHDLCosine_Adam
CIFAR10,PlainNet,64,0.01,None,Adam,1.4929405450820923,1.1484429836273193,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.8755332186932454), 'final': 1.759395956993103, 'max': 11.378172874450684, 'min': 0.34977641701698303}}",CIFAR10PlainNet_BS64_LR0.01_SCHDLNone_Adam
CIFAR10,PlainNet,64,0.01,StepLR,Adam,1.4167544841766357,1.0164920091629028,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.8094191270601719), 'final': 1.6453865766525269, 'max': 5.650638580322266, 'min': 0.23902784287929535}}",CIFAR10PlainNet_BS64_LR0.01_SCHDLStepLR_Adam
CIFAR10,ResNet,128,0.001,Cosine,Adam,0.45834246277809143,0.31817489862442017,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.0387641512829324), 'final': 2.941100835800171, 'max': 5.8344221115112305, 'min': 1.8678115606307983}}",CIFAR10ResNet_BS128_LR0.001_SCHDLCosine_Adam
CIFAR10,ResNet,128,0.001,None,Adam,0.7677411437034607,0.3694169521331787,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(2.8352659401686293), 'final': 4.119368553161621, 'max': 4.677626132965088, 'min': 1.690211296081543}}",CIFAR10ResNet_BS128_LR0.001_SCHDLNone_Adam
CIFAR10,ResNet,128,0.001,StepLR,Adam,0.3831619620323181,0.35487914085388184,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(2.984214773263468), 'final': 2.048388719558716, 'max': 5.420157432556152, 'min': 1.7787548303604126}}",CIFAR10ResNet_BS128_LR0.001_SCHDLStepLR_Adam
CIFAR10,ResNet,128,0.005,Cosine,Adam,0.5922061204910278,0.4955090284347534,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.3856495462415164), 'final': 1.385767936706543, 'max': 5.20394229888916, 'min': 0.730301022529602}}",CIFAR10ResNet_BS128_LR0.005_SCHDLCosine_Adam
CIFAR10,ResNet,128,0.005,None,Adam,0.7892431020736694,0.4855174422264099,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.2746817771126242), 'final': 1.6370877027511597, 'max': 3.971235990524292, 'min': 0.7089478373527527}}",CIFAR10ResNet_BS128_LR0.005_SCHDLNone_Adam
CIFAR10,ResNet,128,0.005,StepLR,Adam,0.6328800320625305,0.5283023118972778,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.3694534696276535), 'final': 1.3466213941574097, 'max': 4.462742805480957, 'min': 0.7517829537391663}}",CIFAR10ResNet_BS128_LR0.005_SCHDLStepLR_Adam
CIFAR10,ResNet,128,0.01,Cosine,Adam,0.9928587079048157,0.594594419002533,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.9898670730688383), 'final': 1.1284610033035278, 'max': 6.125286102294922, 'min': 0.5578303933143616}}",CIFAR10ResNet_BS128_LR0.01_SCHDLCosine_Adam
CIFAR10,ResNet,128,0.01,None,Adam,0.8712270855903625,0.6189645528793335,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.9194785690673477), 'final': 1.1126441955566406, 'max': 7.623258113861084, 'min': 0.5434800386428833}}",CIFAR10ResNet_BS128_LR0.01_SCHDLNone_Adam
CIFAR10,ResNet,128,0.01,StepLR,Adam,0.9478772878646851,0.6126523017883301,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.9136135648278629), 'final': 1.1008769273757935, 'max': 4.148952007293701, 'min': 0.5355741381645203}}",CIFAR10ResNet_BS128_LR0.01_SCHDLStepLR_Adam
CIFAR10,ResNet,32,0.001,Cosine,Adam,0.5069826245307922,0.21299467980861664,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.190774340196367), 'final': 3.2231409549713135, 'max': 7.813991546630859, 'min': 1.3533382415771484}}",CIFAR10ResNet_BS32_LR0.001_SCHDLCosine_Adam
CIFAR10,ResNet,32,0.001,None,Adam,0.6630007028579712,0.1923905313014984,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.234833712937812), 'final': 4.176068305969238, 'max': 7.6009440422058105, 'min': 1.22739839553833}}",CIFAR10ResNet_BS32_LR0.001_SCHDLNone_Adam
CIFAR10,ResNet,32,0.001,StepLR,Adam,0.7840207815170288,0.18883416056632996,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.246406305179486), 'final': 3.649989604949951, 'max': 8.344825744628906, 'min': 1.399143099784851}}",CIFAR10ResNet_BS32_LR0.001_SCHDLStepLR_Adam
CIFAR10,ResNet,32,0.005,Cosine,Adam,0.9810218214988708,0.40790534019470215,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.6052066313480613), 'final': 2.5637872219085693, 'max': 7.4964823722839355, 'min': 0.8249267935752869}}",CIFAR10ResNet_BS32_LR0.005_SCHDLCosine_Adam
CIFAR10,ResNet,32,0.005,None,Adam,0.9117571115493774,0.3452877104282379,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.5408040984578417), 'final': 2.668093204498291, 'max': 7.1507673263549805, 'min': 0.737071692943573}}",CIFAR10ResNet_BS32_LR0.005_SCHDLNone_Adam
CIFAR10,ResNet,32,0.005,StepLR,Adam,0.6885806322097778,0.3389255106449127,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.5127740008664756), 'final': 1.3677457571029663, 'max': 8.96081256866455, 'min': 0.7340647578239441}}",CIFAR10ResNet_BS32_LR0.005_SCHDLStepLR_Adam
CIFAR10,ResNet,32,0.01,Cosine,Adam,0.6969057321548462,0.4905916154384613,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.1501416060227427), 'final': 1.2295949459075928, 'max': 6.959360122680664, 'min': 0.5402507781982422}}",CIFAR10ResNet_BS32_LR0.01_SCHDLCosine_Adam
CIFAR10,ResNet,32,0.01,None,Adam,1.748081922531128,0.6068565845489502,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.1704453377028117), 'final': 2.0262556076049805, 'max': 10.48431396484375, 'min': 0.5714074969291687}}",CIFAR10ResNet_BS32_LR0.01_SCHDLNone_Adam
CIFAR10,ResNet,32,0.01,StepLR,Adam,0.9982115626335144,0.5112497210502625,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.1451762224723343), 'final': 2.0620064735412598, 'max': 5.748225688934326, 'min': 0.6135068535804749}}",CIFAR10ResNet_BS32_LR0.01_SCHDLStepLR_Adam
CIFAR10,ResNet,64,0.001,Cosine,Adam,0.9225978851318359,0.28081074357032776,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.1297154035104815), 'final': 6.067530155181885, 'max': 8.60501480102539, 'min': 1.583619236946106}}",CIFAR10ResNet_BS64_LR0.001_SCHDLCosine_Adam
CIFAR10,ResNet,64,0.001,None,Adam,0.7641841173171997,0.28096842765808105,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.0913313506204454), 'final': 6.052340030670166, 'max': 9.499166488647461, 'min': 1.612505316734314}}",CIFAR10ResNet_BS64_LR0.001_SCHDLNone_Adam
CIFAR10,ResNet,64,0.001,StepLR,Adam,0.6033082008361816,0.2564193904399872,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.0103331934460593), 'final': 4.453390598297119, 'max': 7.854819297790527, 'min': 1.4450154304504395}}",CIFAR10ResNet_BS64_LR0.001_SCHDLStepLR_Adam
CIFAR10,ResNet,64,0.005,Cosine,Adam,0.7175032496452332,0.4524919390678406,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.3440355867985874), 'final': 2.2420034408569336, 'max': 5.218179702758789, 'min': 0.7676279544830322}}",CIFAR10ResNet_BS64_LR0.005_SCHDLCosine_Adam
CIFAR10,ResNet,64,0.005,None,Adam,0.576728105545044,0.48190706968307495,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.363932605472672), 'final': 1.435701847076416, 'max': 5.115569114685059, 'min': 0.7694259285926819}}",CIFAR10ResNet_BS64_LR0.005_SCHDLNone_Adam
CIFAR10,ResNet,64,0.005,StepLR,Adam,0.5137695074081421,0.4561707377433777,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.4999128173989102), 'final': 1.854193091392517, 'max': 7.4362263679504395, 'min': 0.7562867999076843}}",CIFAR10ResNet_BS64_LR0.005_SCHDLStepLR_Adam
CIFAR10,ResNet,64,0.01,Cosine,Adam,1.1172150373458862,0.539206862449646,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.0807901219638718), 'final': 1.9529014825820923, 'max': 7.128589630126953, 'min': 0.6012023687362671}}",CIFAR10ResNet_BS64_LR0.01_SCHDLCosine_Adam
CIFAR10,ResNet,64,0.01,None,Adam,1.1616311073303223,0.6090927124023438,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.0787113936965729), 'final': 2.320037603378296, 'max': 13.786444664001465, 'min': 0.5519669651985168}}",CIFAR10ResNet_BS64_LR0.01_SCHDLNone_Adam
CIFAR10,ResNet,64,0.01,StepLR,Adam,1.2706599235534668,0.5497874021530151,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.0473404895161729), 'final': 2.380880832672119, 'max': 8.361286163330078, 'min': 0.572310209274292}}",CIFAR10ResNet_BS64_LR0.01_SCHDLStepLR_Adam
CIFAR10,ResNet,32,0.01,None,Adam,,,,,,,,{},CIFAR10ResNet_BS32_LR0.01_SCHDLNone_Adam
CIFAR10,ResNet,32,0.01,None,Adam,1.5100703239440918,1.0458451509475708,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.9261013580881018), 'final': 0.9677693843841553, 'max': 12.321971893310547, 'min': 0.3733895719051361}}",ResNet_BS32_LR0.01_SCHDLNone_Adam
